0.0,1.0
1.0,1.0
2.0,0.988
3.0,0.91
4.0,0.82
5.0,0.727
6.0,0.629
7.0,0.57
8.0,0.51
9.0,0.458
10.0,0.419
11.0,0.379
12.0,0.344
13.0,0.311
14.0,0.288
15.0,0.27
16.0,0.251
17.0,0.237
18.0,0.228
19.0,0.215
20.0,0.204
21.0,0.198
22.0,0.186
23.0,0.179
24.0,0.176
25.0,0.174
26.0,0.169
27.0,0.16
28.0,0.155
29.0,0.15
30.0,0.145
31.0,0.143
32.0,0.14
33.0,0.138
34.0,0.135
35.0,0.134
36.0,0.13
37.0,0.126
38.0,0.121
39.0,0.119
40.0,0.117
41.0,0.114
42.0,0.11
43.0,0.108
44.0,0.106
45.0,0.103
46.0,0.099
47.0,0.099
48.0,0.096
49.0,0.094
50.0,0.091
51.0,0.087
52.0,0.086
53.0,0.084
54.0,0.083
55.0,0.083
56.0,0.081
57.0,0.081
58.0,0.081
59.0,0.08
